Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,83.989998,86.529999,83.989998,85.910004,82.503426,986200
2020-09-15,86.250000,89.559998,86.250000,87.769997,84.289665,1044500
2020-09-16,87.760002,90.680000,86.430000,89.930000,86.364014,1771100
2020-09-17,88.940002,89.910004,87.389999,87.870003,84.385696,1466900
2020-09-18,86.970001,87.540001,84.709999,84.870003,81.504669,2147300
2020-09-21,84.000000,84.370003,80.790001,81.110001,77.893761,2080500
2020-09-22,81.050003,83.360001,80.199997,80.500000,77.307938,2217200
2020-09-23,80.080002,81.820000,78.940002,79.000000,75.867424,1610200
2020-09-24,79.190002,80.430000,78.440002,79.379997,76.232346,982500
2020-09-25,78.580002,80.480003,78.410004,80.379997,77.192696,844600
2020-09-28,82.220001,84.040001,81.889999,82.730003,79.449524,1297100
2020-09-29,81.309998,81.769997,79.000000,80.279999,78.020882,939600
2020-09-30,80.820000,82.110001,79.279999,80.300003,78.040321,1320900
2020-10-01,80.599998,82.900002,80.370003,82.830002,80.499123,885800
2020-10-02,81.239998,85.540001,80.720001,85.269997,82.870453,1098800
2020-10-05,85.919998,86.339996,83.320000,84.500000,82.122131,941300
2020-10-06,85.089996,85.709999,82.610001,82.940002,80.606026,1296000
2020-10-07,83.190002,83.989998,82.019997,82.379997,80.061790,1213500
2020-10-08,83.070000,84.750000,82.739998,84.169998,81.801414,1566000
2020-10-09,84.500000,84.500000,82.000000,82.779999,80.450531,970800
2020-10-12,82.779999,83.230003,81.860001,82.699997,80.372780,809700
2020-10-13,81.580002,81.809998,79.099998,79.760002,77.515518,1396600
2020-10-14,79.760002,80.400002,79.129997,79.610001,77.369743,1011100
2020-10-15,79.000000,80.290001,78.800003,79.500000,77.262840,725100
2020-10-16,79.160004,79.209999,77.239998,77.669998,75.484322,1109400
2020-10-19,76.830002,77.510002,75.790001,76.000000,73.861328,1137700
2020-10-20,77.199997,77.660004,75.959999,76.139999,73.997383,769900
2020-10-21,75.680000,76.320000,74.900002,76.050003,73.909920,868700
2020-10-22,76.080002,77.480003,75.809998,77.220001,75.046997,622300
2020-10-23,77.849998,78.239998,76.820000,77.669998,75.484322,525700
2020-10-26,77.000000,77.029999,74.639999,75.410004,73.287933,1013600
2020-10-27,74.970001,75.550003,73.540001,73.739998,71.664917,1204700
2020-10-28,73.019997,73.019997,70.589996,71.150002,69.147812,2042700
2020-10-29,70.730003,72.230003,69.690002,71.639999,69.624016,1604300
2020-10-30,71.500000,72.550003,71.010002,72.410004,70.372360,1073900
2020-11-02,73.260002,76.120003,72.320000,76.050003,73.909920,1230000
2020-11-03,76.900002,78.330002,76.290001,77.900002,75.707855,996000
2020-11-04,77.769997,77.769997,74.410004,74.489998,72.393814,1041600
2020-11-05,74.559998,75.790001,74.139999,74.739998,72.636787,1727900
2020-11-06,75.349998,75.849998,72.529999,73.410004,71.344208,1254000
2020-11-09,83.279999,96.449997,83.279999,88.769997,86.271965,4745200
2020-11-10,89.389999,93.339996,88.629997,92.529999,89.926155,3635000
